stem,C4_e1_med,C4_e1_n,C4_e2_med,C4_e2_n,C4_e5_med,C4_e5_n,C4_e10_med,C4_e10_n,C5_e1_med,C5_e1_n,C5_e2_med,C5_e2_n,C5_e5_med,C5_e5_n,C5_e10_med,C5_e10_n,C4_e20_med,C4_e20_n,C5_e20_med,C5_e20_n
ank_38_24,0.9950508840997729,43,1.2004482920679316,65,0.7569869099204347,44,1.9762450193254655,39,1.0937475646440193,65,1.120822743492615,62,0.875297355554186,62,0.7596018386528955,62,2.4058721918770862,46,0.6878730432245863,57
ank_38_27,1.5192078973937946,63,1.1779418502840624,53,0.8473952822989793,57,2.253925333434912,49,1.1949265704942877,79,1.0601592617553128,77,0.8509128642720989,84,1.273721599353662,104,3.181430939959405,50,1.0784899077106065,89
ank_38_40,2.103041707655365,55,1.5431157773638273,45,2.3617170963304908,60,2.926593634868635,49,1.6841644164441691,60,2.3247464036062144,70,1.6401533852853567,70,1.8516033138455468,75,3.2128551196387294,48,1.718767016653988,69
ank_38_9,0.7821707914450424,85,0.7118850113138332,99,1.0273636642835362,139,0.6812122072128846,97,0.7582794589421338,110,0.6332348179616036,117,0.7896805212372126,165,0.7278687381450207,149,0.7729893496688985,132,0.5994729172402316,141
ank_39_1,2.706970044061364,46,2.6950247031972223,42,3.3455157557753705,49,2.5850446552868034,42,2.7940724303223186,52,3.0163698140036264,60,3.546252619150846,50,3.352340737443395,64,3.3865632841044464,38,3.8024978560841425,65
ank_3_13,2.1008797464617386,70,1.5999905136817352,57,1.4961705126693583,61,1.700277057409866,52,1.8304143241809934,86,1.1275482152129828,92,1.2778813116952779,85,1.648355569563841,94,2.709680722633066,48,1.0209179027300286,83
ank_3_25,2.891813042704378,54,2.9133370800196308,44,3.369834132683517,46,3.930280789784001,42,2.766308878453889,60,2.2703623399509802,50,2.687942674782734,75,3.166127358165066,71,3.264407183285389,39,2.3459007768980817,72
ank_3_29,3.1588683251151504,16,3.194085210243999,11,3.4103959916887847,9,3.8104144954418593,15,3.5271568134597717,22,3.6023331371783485,24,3.172536020467509,24,3.6065057775985165,16,3.972902117924719,22,2.8804735189115354,18
ank_3_34,0.7595418174643597,73,0.6846273409478365,66,0.5537075547089004,78,0.5746385150735952,69,0.6700516023471257,96,0.623306198260632,87,0.5769626986223678,99,0.5739596078580754,114,0.712124159274211,68,0.5820484771536303,131
ank_3_39,1.6159260913713518,27,1.8718831739161423,32,2.371871777203543,42,3.3986700445335964,35,1.9557256040280113,35,2.2368942838519006,44,1.7618415983837055,45,1.4435197623045577,53,2.106801223827408,42,2.071685707657219,56
ank_3_9,1.576535966141219,67,1.3214990711719976,78,1.1004888292708999,73,2.064281385089917,59,1.5321445069211772,80,1.3934470307726488,93,0.6505937118628259,78,1.1903816886755758,95,1.8582011230516495,78,1.0967354615414056,95
ank_40_19,0.5838697452631716,90,0.6413786829924968,104,0.5540918150274838,92,0.4174824657090878,92,0.560910969221097,130,0.5302051810257769,127,0.5376675178364995,129,0.5007525805192221,143,0.5964745338755398,94,0.5238858917033711,146
ank_40_2,2.9991232317632632,43,3.4803745615689503,47,3.7222783664269765,52,3.124845475225214,47,2.9071030927064783,67,2.054829423056057,68,2.8270923737865608,61,2.9471343536307284,75,2.978295836262247,47,2.3255279720903164,67
ank_40_40,2.6792579016992386,33,2.6933335188894842,41,3.473387029257975,33,2.244804265115008,37,2.72229950345827,42,2.6559332825759348,55,2.51920264969857,54,2.807216010173951,65,1.7775285235230731,32,2.4581087794435725,63
ank_41_0,2.496527371662193,50,2.5245607264873247,66,2.8929593408003544,52,3.067517477724274,56,2.48634630734862,63,2.711668631343279,70,2.157864363407027,74,2.5360854878079593,72,2.5103802472915975,68,2.1566632536760877,70
ank_41_1,2.639932112369155,46,2.9679961722851247,54,2.6430836967729885,32,3.2005606313612307,39,3.0117048707151253,41,2.383429217048959,57,2.739029711426819,42,1.9195765093673187,42,3.4232182906152,35,1.8409251987454245,65
ank_41_19,2.7477369490209176,24,2.4205103258472853,25,3.6505312877109164,34,3.3563255729249497,32,2.114373352547274,31,2.7461880429345373,35,2.0936743965790385,41,2.857632963395957,34,2.9715132780961704,29,2.0389946487287447,40
ank_41_40,3.791250053228001,30,3.8528199991113468,21,3.968889245500039,30,3.9994918169293596,22,4.0888560301518755,30,2.8008138220124965,31,3.3104915880810206,44,2.978882321541459,44,3.049437306768318,25,3.9877747972065674,47
ank_4_23,2.658364394651945,50,2.5439468701317054,39,3.1107411136035927,37,2.9761520713302696,33,1.9302842369994944,52,2.027299269817626,45,1.7042361097781957,72,1.5987676558138646,61,3.270671384177041,39,1.623875986937803,68
ank_4_41,1.764877618081835,29,1.606426001903145,58,0.9708891710002432,41,1.1451138092285316,48,1.7120224120560517,50,1.301688062830443,46,1.569502800558986,69,1.3122781934491623,63,1.3248149008102392,44,1.295925827522781,74
