sitevar,arm,stem,stratum,n_mean,med_mean,n_single,med_single,improve
ank_overpass,pretrained,ank_16_36,1,18,3.8150204977177617,10,2.8374037080167502,-0.9776167897010115
ank_overpass,pretrained,ank_16_9,4,52,2.620254979366489,56,2.806683662740791,0.1864286833743023
ank_overpass,pretrained,ank_17_17,1,47,3.485549173663859,50,2.8414733322891434,-0.6440758413747156
ank_overpass,pretrained,ank_17_19,3,48,3.169116623672698,47,3.8275000827557153,0.6583834590830171
ank_overpass,pretrained,ank_17_22,3,47,2.5010372396361205,53,2.4340296949742752,-0.06700754466184522
ank_overpass,pretrained,ank_17_31,3,55,1.979779253311035,59,2.534098500596339,0.5543192472853038
ank_overpass,pretrained,ank_17_32,1,24,2.753662789977005,30,3.6175248287805832,0.8638620388035783
ank_overpass,pretrained,ank_18_16,3,51,3.91965685300962,54,3.6722670151731953,-0.24738983783642476
ank_overpass,pretrained,ank_18_27,2,44,4.24557677141739,46,3.32172871640942,-0.9238480550079702
ank_overpass,pretrained,ank_18_29,3,61,2.206786349137716,56,1.7922589178938884,-0.41452743124382785
ank_overpass,pretrained,ank_18_37,4,30,2.2652495358636067,26,1.2473183174882643,-1.0179312183753424
ank_overpass,pretrained,ank_18_39,3,58,1.4023808195668934,52,1.5733558611060179,0.17097504153912446
ank_overpass,pretrained,ank_18_7,4,63,2.79796737530631,61,3.2195614402300556,0.42159406492374574
ank_overpass,pretrained,ank_19_15,4,42,2.463256538749251,53,3.0953496731321097,0.6320931343828589
ank_overpass,pretrained,ank_19_33,1,22,4.8412869950002335,22,4.702300725510231,-0.1389862694900028
ank_overpass,pretrained,ank_19_6,2,42,2.8724255610840173,40,3.5026591039577597,0.6302335428737424
ank_overpass,pretrained,ank_19_9,2,30,2.6664858909047213,34,2.926465695711448,0.25997980480672656
ank_overpass,pretrained,ank_1_34,3,29,3.6068960982160516,21,3.0208953480253165,-0.5860007501907352
ank_overpass,pretrained,ank_20_10,3,43,2.4164740115988192,46,2.3592761860519142,-0.057197825546905
ank_overpass,pretrained,ank_20_19,1,47,3.9159959374774123,49,3.023494661464951,-0.8925012760124611
ank_overpass,pretrained,ank_20_37,5,94,0.8872174696903911,89,0.928379103905357,0.04116163421496599
ank_overpass,pretrained,ank_20_6,3,66,2.924524223937845,50,2.9146588970063463,-0.009865326931498775
ank_overpass,pretrained,ank_22_10,5,71,1.6896313185047112,72,2.0713169563672045,0.3816856378624933
ank_overpass,pretrained,ank_22_16,2,33,3.654139364215098,46,2.626797762402023,-1.0273416018130748
ank_overpass,pretrained,ank_22_37,4,41,1.9981650914589115,46,1.9738203744855904,-0.02434471697332108
ank_overpass,pretrained,ank_23_14,3,60,2.1789183558497314,62,2.0520719390391853,-0.1268464168105461
ank_overpass,pretrained,ank_23_28,5,70,2.0265688563900506,68,1.8974337895960471,-0.12913506679400344
ank_overpass,pretrained,ank_24_0,4,69,2.7021666273848624,88,2.7392213040302327,0.03705467664537032
ank_overpass,pretrained,ank_24_12,3,57,2.5381694572015854,52,2.728316404729733,0.19014694752814743
ank_overpass,pretrained,ank_24_14,4,36,2.8481210698671635,30,3.080987751681082,0.23286668181391867
ank_overpass,pretrained,ank_24_3,1,48,2.8481564521940133,61,2.58090755774413,-0.2672488944498834
ank_overpass,pretrained,ank_25_1,5,61,2.371776516076892,61,2.4412955019623923,0.06951898588550032
ank_overpass,pretrained,ank_25_14,2,51,3.0864363637296166,45,3.3544857841690505,0.2680494204394339
ank_overpass,pretrained,ank_25_16,2,49,3.997048551948425,61,3.4929275658705374,-0.5041209860778877
ank_overpass,pretrained,ank_25_37,4,33,2.808869068272781,31,3.609133736475365,0.8002646682025842
ank_overpass,pretrained,ank_26_21,3,28,2.3264706441640772,39,4.056458049801828,1.7299874056377504
ank_overpass,pretrained,ank_26_22,4,23,4.093113791444233,25,3.3681843300302794,-0.7249294614139532
ank_overpass,pretrained,ank_26_29,5,111,0.899027074070553,118,0.9836413876606981,0.08461431359014504
ank_overpass,pretrained,ank_26_3,4,90,1.716793468821432,98,2.158658570961033,0.4418651021396012
ank_overpass,pretrained,ank_26_35,2,33,3.407351574211433,35,3.946603686802954,0.5392521125915213
ank_overpass,pretrained,ank_26_5,5,65,1.9374595676600945,89,2.094223561535475,0.15676399387538043
ank_overpass,pretrained,ank_27_14,1,46,3.0090503925985974,59,3.427435324637085,0.41838493203848737
ank_overpass,pretrained,ank_27_40,2,51,3.3249167748619066,48,2.937677963362308,-0.3872388114995986
ank_overpass,pretrained,ank_28_27,3,37,3.4225250546992174,30,2.7548603591329686,-0.6676646955662489
ank_overpass,pretrained,ank_28_37,5,78,1.5293298692510782,79,1.2508465143964587,-0.2784833548546195
ank_overpass,pretrained,ank_28_38,2,53,1.7076452684629615,56,1.7417625721293604,0.03411730366639887
ank_overpass,pretrained,ank_28_9,2,49,3.354149533579265,44,3.183877067939096,-0.17027246564016885
ank_overpass,pretrained,ank_29_0,5,65,2.2628764981167775,51,2.2722131606506224,0.009336662533844908
ank_overpass,pretrained,ank_29_11,1,58,3.7662494844762353,59,3.9573282289384086,0.19107874446217332
ank_overpass,pretrained,ank_29_21,3,46,2.6385185657907293,34,2.5146027143633374,-0.12391585142739192
ank_overpass,pretrained,ank_29_24,4,81,1.8503694780998738,78,1.8957157530185738,0.045346274918699914
ank_overpass,pretrained,ank_29_26,3,50,2.828977782328339,37,3.1275909951160594,0.29861321278772035
ank_overpass,pretrained,ank_2_12,3,95,1.9137358041862929,96,1.9525773060348806,0.0388415018485877
ank_overpass,pretrained,ank_2_23,3,40,3.1106071606083505,30,2.5083602322552885,-0.602246928353062
